ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688169.SH,20260306,133.08,135.08,132.77,134.63,133.82,0.81,0.6053,22928.23,307737.782
688169.SH,20260305,135.09,135.47,133.08,133.82,133.03,0.79,0.5939,24361.35,326158.675
688169.SH,20260304,134.0,135.19,132.77,133.03,135.14,-2.11,-1.5613,27384.7,365884.528
688169.SH,20260303,139.36,141.37,135.09,135.14,138.72,-3.58,-2.5807,41763.0,575033.305
688169.SH,20260302,141.66,141.66,138.0,138.72,143.09,-4.37,-3.054,42369.52,591238.16
688169.SH,20260227,145.21,145.97,142.6,143.09,145.3,-2.21,-1.521,35799.74,515010.073
688169.SH,20260226,150.78,151.38,145.2,145.3,150.71,-5.41,-3.5897,43967.58,645864.595
688169.SH,20260225,152.0,153.2,150.62,150.71,151.32,-0.61,-0.4031,22856.06,346229.017
688169.SH,20260224,150.4,152.33,149.3,151.32,148.2,3.12,2.1053,34960.08,528638.568
688169.SH,20260213,148.4,149.86,148.01,148.2,148.7,-0.5,-0.3362,20941.56,311687.145
688169.SH,20260212,152.0,152.91,147.61,148.7,152.07,-3.37,-2.2161,35271.63,525446.897
688169.SH,20260211,151.77,153.7,151.6,152.07,152.29,-0.22,-0.1445,20846.88,318798.394
688169.SH,20260210,151.23,152.99,151.0,152.29,151.74,0.55,0.3625,25036.92,381143.741
688169.SH,20260209,152.47,152.77,150.63,151.74,151.31,0.43,0.2842,26917.87,408690.779
688169.SH,20260206,151.25,152.88,149.4,151.31,151.81,-0.5,-0.3294,32182.18,488121.543
688169.SH,20260205,147.53,153.3,146.84,151.81,147.32,4.49,3.0478,62980.76,952543.822
688169.SH,20260204,144.82,147.99,144.52,147.32,145.1,2.22,1.53,33136.04,486393.824
688169.SH,20260203,143.92,145.5,141.51,145.1,143.0,2.1,1.4685,34120.4,490363.827
688169.SH,20260202,142.05,145.5,142.03,143.0,142.61,0.39,0.2735,35725.21,515167.693
688169.SH,20260130,145.57,145.59,142.58,142.61,144.9,-2.29,-1.5804,33251.03,476983.141
688169.SH,20260129,144.44,146.0,142.85,144.9,144.49,0.41,0.2838,38979.23,563999.392
688169.SH,20260128,148.0,148.3,144.3,144.49,148.35,-3.86,-2.602,51432.24,747100.41
688169.SH,20260127,148.44,149.39,144.02,148.35,147.93,0.42,0.2839,54904.76,803809.738
688169.SH,20260126,151.23,151.69,147.9,147.93,151.23,-3.3,-2.1821,65810.63,982196.981
688169.SH,20260123,150.23,151.66,149.7,151.23,149.7,1.53,1.022,45473.35,686005.436
688169.SH,20260122,153.0,153.5,149.51,149.7,152.96,-3.26,-2.1313,55266.94,832146.354
688169.SH,20260121,151.86,153.87,149.1,152.96,152.33,0.63,0.4136,64313.53,973629.411
688169.SH,20260120,156.2,156.99,151.85,152.33,156.4,-4.07,-2.6023,52728.43,811909.71
688169.SH,20260119,154.0,158.2,153.2,156.4,155.01,1.39,0.8967,58040.14,908973.123
688169.SH,20260116,156.87,158.23,154.6,155.01,156.19,-1.18,-0.7555,62716.86,979008.789
688169.SH,20260115,159.05,159.86,155.55,156.19,160.2,-4.01,-2.5031,59456.42,935657.393
688169.SH,20260114,158.53,163.85,158.12,160.2,158.53,1.67,1.0534,71659.56,1154344.285
688169.SH,20260113,163.5,164.8,157.69,158.53,162.62,-4.09,-2.5151,70205.75,1125353.362
688169.SH,20260112,164.0,164.5,159.15,162.62,163.49,-0.87,-0.5321,80341.66,1295736.414
688169.SH,20260109,159.9,163.69,159.19,163.49,159.9,3.59,2.2452,49299.17,799075.583
688169.SH,20260108,158.5,161.2,155.41,159.9,158.5,1.4,0.8833,49076.17,779357.72
688169.SH,20260107,161.41,165.21,157.01,158.5,161.29,-2.79,-1.7298,52847.64,846586.49
688169.SH,20260106,156.29,161.49,155.92,161.29,156.2,5.09,3.2586,63895.79,1016096.584
688169.SH,20260105,152.57,157.5,152.57,156.2,152.06,4.14,2.7226,52214.62,810407.294
688169.SH,20251231,152.74,156.68,151.65,152.06,151.81,0.25,0.1647,44656.74,689308.823
688169.SH,20251230,151.48,152.66,150.28,151.81,151.9,-0.09,-0.0592,38967.99,589598.092
688169.SH,20251229,154.05,157.32,151.5,151.9,154.0,-2.1,-1.3636,49680.17,766353.076
688169.SH,20251226,154.0,154.67,153.06,154.0,153.88,0.12,0.078,23534.39,362132.426
