trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI_14,DIF,DEA,MACD,BOLL_MID,BOLL_STD,BOLL_UP,BOLL_LOW,BOLL_WIDTH,OBV,OBV_MA20
2026-04-24,688169.SH,118.11,118.11,113.4,115.43,118.14,-2.71,-2.2939,80969.03,930798.533,41.88,-3.3548,-4.467,2.2244,116.71,3.4528,123.62,109.8,11.84,-573886.1499999997,-525619.0
2026-04-27,688169.SH,115.5,120.82,115.5,118.68,115.43,3.25,2.8156,71023.34,842924.889,47.67,-2.9358,-4.1607,2.4498,116.48,3.1345,122.75,110.21,10.77,-502862.8099999997,-528311.0
2026-04-28,688169.SH,118.5,119.89,116.86,117.17,118.68,-1.51,-1.2723,54926.59,650344.309,45.41,-2.6945,-3.8675,2.346,116.25,2.8906,122.03,110.47,9.94,-557789.3999999997,-532568.0
2026-04-29,688169.SH,117.58,118.2,116.52,117.86,117.17,0.69,0.5889,44440.32,522356.337,46.65,-2.4197,-3.5779,2.3164,116.14,2.7835,121.71,110.57,9.59,-513349.07999999967,-533448.0
2026-04-30,688169.SH,117.11,118.68,115.28,115.8,117.86,-2.06,-1.7478,56635.81,660770.065,43.47,-2.3412,-3.3306,1.9788,115.91,2.5824,121.07,110.75,8.9,-569984.8899999997,-538551.0
2026-05-06,688169.SH,116.55,117.53,114.55,116.73,115.8,0.93,0.8031,63741.56,740465.615,45.28,-2.1788,-3.1002,1.8428,115.81,2.5067,120.82,110.8,8.65,-506243.32999999967,-539397.0
2026-05-07,688169.SH,117.49,119.3,116.52,118.1,116.73,1.37,1.1736,67612.15,797800.243,47.94,-1.9174,-2.8637,1.8926,115.97,2.5451,121.06,110.88,8.78,-438631.1799999997,-535079.0
2026-05-08,688169.SH,118.85,121.25,117.17,120.87,118.1,2.77,2.3455,87948.01,1053837.84,52.92,-1.4698,-2.5849,2.2302,116.31,2.7266,121.76,110.86,9.37,-350683.1699999997,-525039.0
2026-05-11,688169.SH,120.88,120.88,118.0,119.38,120.87,-1.49,-1.2327,79058.75,939954.81,50.14,-1.2212,-2.3121,2.1818,116.34,2.7559,121.85,110.83,9.47,-429741.9199999997,-520846.0
2026-05-12,688169.SH,119.8,119.98,115.0,115.12,119.38,-4.26,-3.5684,78702.22,916594.243,43.17,-1.3524,-2.1202,1.5356,116.4,2.717,121.83,110.97,9.33,-508444.13999999966,-518403.0
2026-05-13,688169.SH,115.0,121.46,113.91,120.0,115.12,4.88,4.2391,100844.61,1184734.516,51.49,-1.0505,-1.9063,1.7116,116.6,2.8307,122.26,110.94,9.71,-407599.5299999997,-512673.0
2026-05-14,688169.SH,119.99,120.82,116.31,116.41,120.0,-3.59,-2.9917,67397.6,795449.085,46.14,-1.0883,-1.7427,1.3088,116.77,2.6942,122.16,111.38,9.23,-474997.12999999966,-508018.0
2026-05-15,688169.SH,116.79,124.98,115.4,122.12,116.41,5.71,4.9051,140698.69,1710145.375,54.28,-0.6501,-1.5242,1.7482,117.21,2.8235,122.86,111.56,9.64,-334298.43999999965,-498477.0
2026-05-18,688169.SH,122.0,129.44,121.03,128.45,122.12,6.33,5.1834,147780.42,1854797.574,61.27,0.2056,-1.1782,2.7676,117.95,3.6561,125.26,110.64,12.4,-186518.01999999964,-483592.0
2026-05-19,688169.SH,128.61,133.33,127.13,127.8,128.45,-0.65,-0.506,126577.02,1642737.705,60.25,0.8219,-0.7782,3.2002,118.74,3.9897,126.72,110.76,13.44,-313095.03999999963,-470987.0
2026-05-20,688169.SH,126.5,130.44,125.13,128.25,127.8,0.45,0.3521,85650.69,1097351.262,60.74,1.3312,-0.3563,3.375,119.59,4.1203,127.83,111.35,13.78,-227444.34999999963,-451800.0
2026-05-21,688169.SH,128.0,134.48,127.17,130.17,128.25,1.92,1.4971,123679.91,1619188.873,62.83,1.8683,0.0886,3.5594,120.09,4.7525,129.6,110.58,15.84,-103764.43999999962,-432218.0
2026-05-22,688169.SH,131.5,131.6,125.88,126.82,130.17,-3.35,-2.5736,97488.2,1251018.843,57.11,2.0005,0.471,3.059,120.5,4.9664,130.43,110.57,16.48,-201252.6399999996,-414631.0
2026-05-25,688169.SH,125.8,126.71,123.96,125.08,126.82,-1.74,-1.372,74607.31,933480.507,54.35,1.9425,0.7653,2.3544,120.92,4.9848,130.89,110.95,16.49,-275859.9499999996,-398468.0
